# seed=42
Laser Power, Material Start, Material End
6.024857482307694454e+02,6.837966561941926091e-01,8.903330828924228557e-01
4.485688228801209334e+02,9.801503162619639165e-01,9.738017737168401800e-01
6.148938550290413332e+02,2.141946937121447514e-01,3.720408586388267991e-01
5.147187844718358747e+02,6.644410449184573464e-01,6.207150334480088238e-01
5.339326021872531101e+02,5.730895583173706113e-03,5.689278639281046823e-01
4.051689463023398048e+02,1.207208734575257875e-01,2.254670733649982994e-01
4.179161389534276054e+02,8.350442454519525493e-01,4.791662212628102213e-01
4.952035026613524451e+02,8.292410718405461845e-01,8.646285133090881869e-01
5.432218741152572647e+02,6.561022841465693478e-01,9.601673039609236460e-01
5.041114537430199221e+02,6.473432775899906622e-01,9.169291304203399662e-01
5.902908637067357631e+02,5.066948253188797713e-01,9.863912163441058700e-01
5.928803666343605983e+02,5.387341647414647383e-01,9.942368877163507146e-02
5.813590641026138428e+02,7.095951908137485553e-01,3.986104037423630064e-01
6.592835685590043795e+02,1.017357943253969083e-01,2.487712405189161646e-01
4.671429425510620490e+02,8.665485687434572037e-01,2.058310135623529491e-01
4.702384361063795950e+02,9.197251841399244343e-01,6.400822395081818827e-01
5.975194694943488685e+02,8.126359910672917384e-04,5.164347517907409424e-01
5.621229310966101593e+02,4.401079458743653028e-01,8.194932332923215990e-01
4.710459544627850050e+02,4.498099016048711651e-01,7.447676685999518043e-01
5.498972252175443600e+02,4.448700987770550785e-01,5.388551389719322682e-01
5.257204089082113114e+02,6.289547364489738168e-01,8.564721532199868204e-01
4.505204531700927646e+02,5.970156935688490929e-01,1.828008131169547579e-01
6.142412582585859582e+02,3.337605328229977242e-01,3.137657928681997777e-01
5.475473745928535436e+02,2.266842734299189255e-01,7.991627833984192852e-01
5.711354071503149044e+02,3.466575371733828237e-01,3.853327244833434917e-01
5.938609800715830715e+02,4.864749357058587020e-01,5.274589301181796808e-01
4.149113299764746898e+02,5.081277450732485379e-01,5.351241919256025659e-01
4.021700081063335688e+02,5.245406285826452741e-01,6.108940138694941568e-01
5.644383160078969013e+02,9.944393970121812032e-01,7.904126087175092352e-02
5.953741843159115206e+02,8.820267369101514321e-01,1.625644795279927168e-01
5.140292832039976929e+02,1.776304284556591562e-02,8.922989326416184142e-01
4.560177556696052648e+02,2.857561566433298172e-01,5.088234840000616099e-01
6.125883421809367064e+02,3.259753946282227810e-01,8.470913640763164665e-01
4.823047602932822429e+02,5.274092819493118034e-01,2.830829038364029437e-01
4.231346115237592471e+02,8.413961452171149213e-01,8.601631162089689031e-01
5.273312235787410600e+02,1.577882317800777950e-02,4.100059306843248930e-01
4.330724799854153844e+02,2.514321831242719019e-01,8.703262068406780738e-01
5.397361482808771598e+02,5.860017905390515480e-01,4.206686305277869686e-01
6.792099249906647174e+02,6.878191185460317270e-01,8.420593320220674804e-02
4.785826002980773524e+02,9.751834388391771025e-02,3.797139562496667509e-01
6.509339392355846030e+02,3.016035915455742011e-01,2.461787235457382206e-01
5.400062385764035753e+02,2.699276745790106236e-01,8.998914033174260085e-02
4.887690052497913484e+02,3.427881496447045540e-01,1.039703637828117040e-02
6.218568683076235857e+02,6.543011823141537953e-01,1.038855361196934779e-01
6.461194216878150201e+02,1.141444091396554422e-01,4.144557832017912169e-01
5.969811275296127633e+02,4.243240395626892147e-01,7.059196974009058767e-01
4.934789307335685749e+02,6.775015264138871396e-02,2.869909380196140058e-01
4.265528871230026766e+02,1.687399763108471951e-01,9.629773780047612419e-02
4.257068722045353297e+02,8.765307578161297686e-01,8.696139170182621836e-01
4.472375447492092917e+02,9.485801906054373012e-01,9.560395904302027015e-01
5.514330738364137687e+02,9.798909993700174459e-01,9.487673820601448815e-01
4.071745896690518975e+02,1.422317085772663858e-01,9.205808434297987342e-01
5.366961232921464671e+02,4.718165579883515925e-01,2.776329335422393352e-01
4.720119836922674494e+02,7.370828787150829342e-01,1.164318381033171840e-01
6.186181549947352778e+02,3.708551737000827520e-01,6.317097394906698860e-01
4.492323853278651313e+02,5.053973147349705153e-01,4.928439655683849452e-01
4.113109366060479601e+02,2.989832945231061245e-01,6.791919312185183966e-01
6.211154987623103807e+02,3.917615649476045014e-01,6.777318107802544622e-01
5.300331546725312819e+02,2.653905907924783425e-01,7.851441935726373167e-01
5.010334074717780481e+02,5.787307417651634811e-01,3.971763782068288839e-01
5.161547301343427989e+02,6.795647429466060707e-01,2.288233875031819853e-01
6.632097754532096587e+02,2.799278803314452779e-01,7.271631999116863199e-01
5.923155203949459064e+02,9.835488142635915310e-01,5.328550841337558186e-01
4.080605368597408642e+02,8.425959956377793159e-01,1.347041030355975721e-01
4.188085401660873686e+02,3.593675716963518618e-01,6.842513555602809661e-02
5.052705133698402165e+02,2.951371636096402074e-01,3.947479750381178709e-01
6.997836055993298032e+02,2.529745215107864764e-01,6.445265886230355790e-01
6.448681582679657822e+02,3.501578856054096134e-01,5.609927341496337982e-01
4.536878349311556349e+02,2.004002591784723453e-01,2.513710986165115790e-01
5.686975705825930163e+02,1.050117167069651580e-01,8.417682865513294033e-01
4.359567645117562051e+02,1.103160135779210627e-01,4.358888641661862184e-01
5.606316331383197848e+02,1.613317399189969081e-01,4.836540111096168104e-01
5.390116639781188042e+02,9.985146148665497989e-01,4.259706343128798478e-01
4.055036959452875749e+02,1.022869039528508800e-01,1.152554768536168950e-01
5.121078322605635549e+02,4.727983191841098609e-01,1.657606548882702147e-01
6.841810483833530725e+02,2.380831416381980481e-01,8.220090710548326740e-01
4.421367370651872761e+02,2.453780769801584549e-01,8.446246699016678461e-01
5.543767561807096627e+02,5.232243166096726128e-01,8.347182227308277414e-01
6.777935634130145672e+02,6.595818846827954385e-01,8.069498233940654019e-01
4.533017492174450354e+02,1.966818626424693406e-02,1.543273914188995344e-01
6.052065201983898532e+02,8.088880611439430712e-01,7.103218605382365380e-01
4.348058070014042187e+02,9.337168082228625154e-01,2.371035087734912894e-01
4.657644563704948268e+02,2.383990143270763029e-02,8.244893396544105135e-01
4.387397325836064397e+02,6.190613461316192279e-01,1.216986540523735116e-01
5.822914440086615286e+02,4.961857927556875270e-01,7.019107018220515082e-01
5.072602886290337665e+02,6.941588133937094673e-02,2.650196049151968269e-01
4.680481328961911345e+02,3.013420048298666876e-03,6.098317693308862308e-01
6.470537995275665253e+02,9.163128232304749154e-01,6.827248225990431019e-01
5.988105105699194155e+02,7.446595934892973334e-01,5.544741939619209914e-01
6.747651349109671628e+02,4.372667832301347368e-01,6.389209451294766140e-01
4.045969261100216272e+02,6.031104225342562297e-02,1.703485498282540991e-02
6.065388234463243862e+02,2.482959689662376790e-01,6.049904170341929843e-01
6.880542686536771271e+02,2.288257521189260291e-01,1.782994514023325539e-01
4.195956455226450998e+02,1.190023660829370306e-01,1.429371779179908486e-01
6.408215006557811648e+02,8.816449868351260433e-01,2.193222887287807898e-01
6.380850381942024114e+02,9.599503537364028061e-01,1.441450790829919282e-01
6.565310756030457924e+02,3.293849298551584370e-01,9.848030456168845870e-01
6.813956113262241843e+02,9.914439557867983366e-01,4.165939330686022068e-01
5.916197381361585030e+02,7.020363881049149768e-01,7.387592845806839614e-01
4.603134964758233423e+02,6.944771348736319405e-01,5.461933442560719110e-01
5.189675824319690491e+02,6.480735775529012921e-01,4.884359896585236394e-01
4.642799191370428389e+02,9.657717918576327332e-01,2.885351729940124343e-01
4.027359467802835979e+02,9.008937923951774174e-01,2.606917951810353018e-01
6.760181109299767286e+02,1.320308438371367576e-01,6.154235435090241735e-01
4.289597479015372414e+02,1.445000329241294679e-01,6.233070142773738942e-01
5.061256781350814435e+02,5.819181060794285099e-01,1.104453137449416394e-01
4.573061801549098391e+02,1.960289196610101592e-01,7.130700530876127319e-01
6.436132498125557504e+02,7.271768479956118858e-01,7.624126356988800701e-01
4.701491084366128916e+02,9.768890765797244580e-01,2.839588042602855106e-02
4.450451789996680532e+02,6.523548338187651341e-01,1.899260585455976313e-01
6.089948166227994761e+02,2.625734836073765899e-01,8.164525586344967278e-01
6.622807260711665549e+02,8.052113706304697693e-02,9.383982568157867021e-01
4.173706217741060414e+02,4.475309296991173968e-01,6.267562044532495324e-01
4.084851248172250848e+02,6.459909997501206425e-01,3.449707413157673264e-01
4.787936275603813669e+02,2.199407854217427516e-01,6.871972888848931760e-01
4.564626190711697973e+02,8.966567743822883019e-01,6.615246832732788462e-01
5.500883313222208244e+02,3.773039371531810016e-01,2.582933106577118831e-01
6.002206338093286604e+02,8.728193594982336379e-01,5.432061198645042888e-01
5.036351049695469442e+02,4.162268848756562334e-01,6.036248126361209998e-01
6.171491130452584457e+02,1.873161461229086999e-01,2.965647217047168716e-01
6.275155410364142199e+02,8.780025132598664461e-01,2.954072758859777048e-01
6.955552348293211935e+02,4.637263574439407510e-01,7.588502561407539648e-01
4.096014519776422276e+02,3.685982379797586583e-01,6.248095743191732776e-01
4.675645785442469560e+02,6.841694024794289231e-01,5.970061668077393247e-01
5.319193798520121845e+02,9.392692430736017117e-01,1.818656666623044704e-01
6.314788125773867478e+02,3.039646624380001882e-01,1.093440166999673198e-03
5.736192758410288661e+02,3.573134150752421689e-01,7.371592364569894418e-01
5.692244744362932352e+02,5.004960737568502349e-01,5.691828672611009415e-02
5.786292754749329106e+02,2.662060064024540096e-01,9.675298057662387041e-01
6.398047943616900284e+02,9.341818703711540772e-01,3.494091588942985216e-02
5.261546092303492514e+02,2.868185104116725004e-01,2.066931215819810264e-01
5.360203700250910970e+02,9.875172558767467690e-01,7.733550153056626408e-01
5.757067350615499208e+02,7.602513712694184411e-01,3.014335061334997290e-01
4.236631063633513463e+02,4.904160511497172581e-01,6.524323517812485873e-01
6.523369682448494586e+02,5.750474853828264621e-01,5.100105965021299870e-01
6.767952415138125843e+02,7.143707231137642610e-01,7.681948920615615517e-01
5.741274460982624532e+02,3.956296413100928722e-01,5.868756585325248798e-01
5.559388635056112662e+02,2.066941557468720270e-01,1.360893011436243583e-01
5.574923607614199454e+02,7.291340550142645371e-01,5.239283144971637052e-01
6.130241352866024727e+02,3.237939946317396900e-01,4.099178418133903046e-01
5.750523600330969884e+02,1.358689391321632467e-01,7.870897643151765211e-01
5.022903473192457113e+02,2.737486010194283351e-02,2.938980790348502681e-01
6.849330397790504321e+02,5.472309912440201929e-01,1.278789430983469366e-01
6.785810861646341436e+02,1.175859589169503810e-01,2.139585686243272375e-02
4.717635245336931575e+02,2.751667807338616933e-01,2.799966785846503825e-01
6.783327577774007295e+02,9.522744708725182639e-01,7.779975338749761660e-01
6.948950995865122877e+02,7.310209959869855556e-01,4.533381167797872341e-02
6.505412037879120817e+02,6.624388377249468274e-01,3.103175925875700791e-01
5.090437908739508543e+02,4.153550191180645501e-01,7.255150342939433727e-01
6.271120819596693536e+02,9.566334832846823399e-01,3.875434942490731394e-01
4.862015585547670753e+02,8.161392307648217548e-01,4.919028614203060923e-01
6.283235382368562796e+02,2.025768839168064495e-01,7.836990919768850317e-01
5.253715755879967446e+02,2.137235892567229401e-01,3.161623536129386514e-01
6.939944441309073682e+02,3.456233560503773061e-01,3.393743297419671290e-02
4.755336223194626655e+02,1.127597014267434083e-01,2.395167221825218185e-01
4.128584727697415815e+02,1.081960923446774817e-02,1.603011293338204579e-01
5.883971551642529221e+02,9.042932610813152472e-01,4.847617618271460871e-01
4.263023539083370110e+02,8.204541252237294024e-01,5.722890169164188690e-01
4.364474419097475106e+02,3.061624126381946032e-01,3.930910851394027183e-01
6.192379453273999843e+02,9.620307009327647707e-01,6.727692784272160109e-02
4.763121043925079334e+02,8.553632017643431062e-01,9.144015729555170502e-01
4.650395596486824275e+02,1.815672886095491823e-01,2.811719478124215521e-01
6.254094186193818814e+02,8.078437832138393171e-01,9.099403304598006059e-01
4.921921128067556879e+02,3.879619317043650484e-01,3.416690244848364366e-01
5.657648900074894982e+02,1.525838175286328424e-01,4.465228392270852442e-01
5.480097080973220045e+02,6.421996108576460971e-02,1.528123389039431068e-01
5.595243841949520629e+02,4.777125626770889477e-01,8.766138091461406212e-01
4.034962336381347541e+02,2.729854145968359513e-01,4.201645104814257653e-02
5.085975954371599528e+02,1.399668403962048835e-01,1.220138308361389951e-01
5.706492166995194566e+02,8.657461800489629766e-01,6.922053956004917685e-01
4.498717718199233673e+02,7.469275991737772680e-01,3.547564159402785133e-01
4.892360876850994487e+02,5.189896060725598947e-02,8.008108647822181902e-01
6.494231468840782782e+02,6.886727579066792559e-01,8.103275096463147253e-01
5.157891036736514252e+02,3.488085724506285734e-01,3.515374389206262773e-01
5.368756669012577731e+02,5.214926709868763499e-01,7.887784597335292247e-01
6.330678754959462822e+02,4.612076669998814715e-01,4.566447584728003939e-01
6.293645382191707540e+02,6.228661244093611771e-01,7.524831555256304982e-01
4.846099497544042265e+02,9.691614552241983871e-01,5.049708338962289877e-01
6.907552231417837447e+02,6.058118560738212643e-01,1.702206871566492030e-01
4.123629956559756806e+02,2.466348368035815586e-01,2.217012516872636785e-01
4.060230702222754076e+02,4.816431164763563255e-01,5.600916014201018887e-03
5.962846102836654154e+02,3.661748345117161185e-01,4.875757051849534118e-01
6.823181194670951299e+02,8.105330101908744256e-01,3.022432685323784285e-01
4.609725683829776131e+02,5.589659610263011391e-01,7.425165671789605293e-01
6.071613184140082922e+02,7.584340797399478085e-01,8.728601323627169783e-01
5.529372309419171643e+02,4.081920534182439386e-01,5.062688549213579803e-01
6.197211415385089595e+02,9.098002750456785082e-01,2.575912052658371199e-01
4.907538397809354365e+02,4.399537198108360858e-01,6.940415507325854438e-01
4.543737131917865781e+02,2.405613749326183382e-01,6.062248578230239326e-01
4.693632220671099731e+02,2.053617350228006677e-01,9.687825177422034750e-01
4.812514063757511735e+02,5.371817200447503993e-01,9.267964504882645338e-01
6.922387711782600945e+02,7.430647194867467942e-01,5.256065156384988057e-01
6.481736764102702182e+02,3.412117860348137799e-01,3.277377826139475370e-01
4.095022770996672534e+02,3.386308758532126650e-01,2.993210444915821999e-01
4.660270609648865161e+02,8.351280650928277760e-02,8.158021509897903645e-01
4.547478972621998423e+02,8.462379278961642548e-01,2.114437732862570196e-01
4.772787471390126939e+02,6.776284677302578663e-01,6.969559753972670579e-01
4.159189500152519372e+02,8.154811203202909642e-01,7.199096537660211181e-01
4.039111051958042253e+02,7.040813353047288281e-01,3.069496159849467026e-02
5.101026960660228156e+02,7.257786158519408115e-01,3.594951274189008283e-01
4.982231356302552854e+02,5.404703928947854896e-01,9.402465784054707676e-01
5.638590148878602122e+02,2.300308627834984909e-01,6.980352666337908962e-01
6.298282005203392373e+02,7.958563557189942683e-01,4.037244129281443716e-01
6.914173200841144080e+02,1.648942034918710886e-01,7.180604422258904385e-02
4.114925218253187040e+02,5.767664876418453490e-01,8.209152711953955350e-01
6.831008132059796480e+02,1.834934890511996097e-01,5.316793759500354488e-01
6.496888401053231519e+02,8.228315442798775914e-01,3.365297411449607035e-01
5.462223802822539938e+02,5.832574947258234443e-01,2.151902900711469280e-01
5.837439910169536006e+02,1.884552940246508601e-01,3.095863729449719326e-01
5.044350766859571422e+02,6.517586893251126057e-01,3.820775583515274160e-02
6.537397626126100931e+02,8.754709203776973592e-01,1.463070429278640616e-01
5.948923047565923525e+02,7.717286413738005946e-02,9.231002814001116885e-01
5.858528446161860757e+02,1.665795095973280071e-01,7.402973307011956328e-01
4.988509561576805709e+02,2.551040699689971145e-02,6.436774918742961260e-01
4.402359885935154580e+02,6.202240223427888388e-01,2.704452825733446031e-01
4.314894030872273447e+02,8.930187841689762873e-01,5.929405086676349246e-01
4.998780591918537652e+02,8.991308738306046378e-01,3.637364903342159006e-01
5.427246016882788808e+02,5.420955005683085748e-01,5.303593848082729934e-02
4.210280766850568739e+02,2.216728462445797798e-01,5.708911668959201213e-01
4.304753696479890550e+02,8.874936307877467900e-01,1.499398908424776355e-01
6.393286280135558854e+02,6.166303184741608878e-03,5.213569340170353117e-01
5.586351224728512079e+02,4.750699717360214458e-01,1.191990975095094385e-01
6.972808683451924026e+02,6.136255221107693725e-01,8.380227922029608312e-01
5.105090152787776674e+02,2.605167707345369954e-01,4.630624814059721150e-01
4.965082737267242123e+02,5.981586682834527657e-01,8.053172258652365745e-01
6.033699359861818721e+02,8.513151926463786712e-01,8.944110859390081991e-01
5.004263747530070532e+02,7.544983228305102152e-01,1.984127292322752367e-01
6.692728272333516770e+02,1.221524333678136454e-01,8.971240207941593159e-01
4.458165918104414800e+02,7.119953824548265198e-01,7.480132630031776086e-01
6.350314621684215126e+02,7.998758737869197111e-01,4.330834759169269743e-01
4.639642435650578705e+02,6.381562950996900740e-01,9.013616870107837853e-01
6.287642919229697327e+02,1.910778011396901954e-01,5.868009739774144445e-02
5.910401827859703872e+02,2.330544320544819803e-01,9.640998778107511269e-01
5.899943718143470051e+02,7.496455289975013647e-01,8.586438118782403484e-01
4.216923954632152345e+02,7.339194925201201203e-01,6.471007346231546498e-01
4.438645073861875971e+02,7.885007627621543058e-01,8.660163845670046934e-01
5.220811517130416632e+02,5.686800085623976431e-01,5.573950394377240602e-01
6.040314786402004756e+02,8.592673290228869387e-01,9.065229785746268254e-01
6.181581158775285303e+02,9.368763621398740193e-01,6.345604349299569513e-01
4.014946395089492057e+02,9.201858273461810400e-01,7.791613980241444137e-01
6.864117569211140335e+02,6.113152751333997825e-01,8.891836866635379755e-01
6.715359699350599385e+02,5.917483859633754228e-01,4.678165526418819886e-01
6.245995060461118555e+02,8.266889645233138628e-01,5.826741805715797140e-01
6.705881401327944786e+02,9.293469063146564402e-01,3.776043803054816017e-01
4.739331091464736119e+02,5.627873919720774443e-02,8.555066392455477065e-01
5.831992905046911346e+02,1.757412743930834576e-01,9.714496949487966271e-01
5.289168073022599401e+02,2.894329584668015598e-01,9.286505269053014766e-01
6.364538038538888713e+02,8.195949551841517078e-01,5.769158419300984830e-01
6.731791653392539274e+02,6.700941550630289401e-01,3.307798790342256212e-01
4.730469358413835721e+02,7.647490436861721363e-01,8.735901767664397410e-02
6.550143229655849382e+02,8.892006477296726663e-01,4.062914455847797812e-02
4.320338635333400248e+02,7.171121142272081084e-01,8.421281250011285469e-01
5.578876093743116371e+02,5.133555686523540995e-01,4.489109031959173657e-01
6.919061054463445544e+02,4.073559499977028042e-02,7.713317774660825021e-01
5.678534769995404758e+02,1.481746563294889241e-01,7.901522510010030587e-01
6.641411996628628458e+02,9.404748198160747252e-01,1.290387847381153918e-01
4.855261286832914038e+02,3.155195474477019979e-01,3.907103616112814204e-01
4.778264079183385888e+02,6.974843831805952465e-01,2.008280772518078738e-01
5.095540105670650064e+02,8.455622867824107436e-01,2.303678879664943502e-01
5.824836580484234219e+02,5.616646009606444112e-01,6.179849859343999885e-01
4.393983220188823680e+02,2.824049783286384785e-01,2.321652267531351243e-03
6.327170025579303001e+02,4.204513281976338668e-01,9.357685916653810665e-01
4.525659624459060524e+02,3.720027809699761878e-01,5.376148183535381930e-01
6.009076218504534381e+02,3.351543993349064277e-01,1.727606629480602785e-01
5.445172014895912298e+02,5.344185240522080216e-01,5.754587356954582456e-01
5.326690905642961980e+02,1.986730934855418240e-01,7.577631039523863299e-02
4.074686890428644119e+02,6.269984677018394237e-01,7.326276741687696159e-01
5.184083879590784818e+02,9.260159159889439495e-01,7.200115618155161767e-02
4.102140015530700339e+02,7.853633472247418812e-01,9.130775822283249132e-01
4.153451338451107517e+02,7.678971616908861764e-01,8.486554711375531301e-01
5.869879973829588380e+02,8.124250722507370126e-01,6.233575984943603293e-02
6.887072615280412720e+02,4.951666680039202295e-01,6.333569086355181899e-01
4.295507075321997945e+02,4.263972211323145411e-01,3.710174851072172708e-01
5.026641813882782230e+02,5.297121826078429185e-01,4.282418624406820751e-01
4.803423428602168315e+02,5.176929489558907971e-01,8.849323199734521195e-01
4.869594889118875471e+02,3.278943857971997611e-01,2.399896251166858813e-02
6.355382100041833837e+02,2.224507522374155333e-01,7.979303232994401363e-01
5.244086454361204233e+02,3.803537453651676392e-01,9.836639983028442336e-01
4.464766349402414676e+02,8.436160024141203806e-02,4.278144878451510258e-01
4.897633110892367654e+02,4.565244048877872274e-01,1.074850960813520662e-01
4.877486026513398656e+02,5.629916427912183829e-01,8.124994680241035550e-01
6.445211922172856021e+02,1.512641913195563736e-01,6.295616215670427618e-01
4.916749723951389797e+02,2.164970183788572089e-01,5.417621793039320011e-01
4.379061354263158705e+02,2.812029867530515537e-01,3.640192230852790090e-01
4.593176732453256363e+02,3.186929203486126849e-01,7.931025409855974040e-01
5.599642490939817208e+02,1.922498316018918241e-01,3.420488087083431994e-01
6.382762846247354673e+02,5.676153986419296693e-01,4.055584041575820975e-01
4.758063556725429635e+02,8.374218328367236674e-01,9.525305497384388698e-01
5.136601476095141834e+02,9.068981824630192312e-01,7.063429061503223583e-01
5.609736803369544305e+02,6.319468444700053755e-01,8.379010817257079857e-01
4.338390649285263976e+02,9.302761584875544887e-02,8.634796306893139928e-01
6.859488063476111392e+02,1.244841793625342807e-01,4.543467770306841569e-01
5.208632661592660043e+02,7.322926103828579503e-02,9.934586064770097869e-01
6.528868489175383729e+02,1.853705007628712320e-01,9.487180972590554540e-02
6.080726337166954636e+02,7.562109770045624124e-01,9.327074184735428819e-01
6.661143449459927979e+02,8.812891611231468691e-02,8.298810266156333437e-01
4.142708930352227981e+02,4.648284573496905270e-01,7.476090269808359778e-01
